gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,TOTAL_MARK
1,0,5,0,35,12,94.28571428571429
0,0,4,0,12,4,80.28571428571429
0,0,2,1,5,15,79.28571428571429
0,0,1,0,31,9,80.71428571428571
1,0,3,1,28,15,85.0
0,0,8,1,5,3,77.42857142857143
1,0,1,0,33,12,83.28571428571429
1,0,3,0,2,1,79.85714285714286
1,0,5,1,9,10,81.28571428571429
1,1,2,1,0,3,77.57142857142857
0,0,5,0,26,15,84.28571428571429
1,0,5,0,30,11,91.71428571428571
1,0,7,0,1,7,85.57142857142857
0,0,1,1,26,12,79.28571428571429
1,0,2,0,2,7,83.0
0,0,5,0,9,13,81.42857142857143
1,0,2,0,30,11,81.14285714285714
1,0,3,0,24,13,73.28571428571429
0,0,4,0,21,12,77.71428571428571
1,0,2,0,14,14,79.0
1,0,1,0,24,12,86.14285714285714
1,0,3,0,34,9,79.14285714285714
0,0,1,1,34,0,82.71428571428571
0,0,6,1,27,12,89.57142857142857
1,0,3,0,16,0,71.28571428571429
1,0,1,1,21,0,78.28571428571429
1,0,1,0,1,1,90.0
0,0,3,0,17,12,83.85714285714286
0,0,5,0,0,15,87.57142857142857
0,0,3,1,12,0,78.85714285714286
1,0,2,0,22,2,79.42857142857143
1,0,1,1,14,14,78.57142857142857
0,0,0,0,41,6,93.0
0,0,4,0,32,4,76.85714285714286
0,1,1,0,4,3,73.85714285714286
1,0,1,0,22,6,79.28571428571429
1,0,3,0,17,2,82.0
0,0,2,0,2,1,86.57142857142857
1,0,4,0,33,2,85.57142857142857
1,0,5,0,29,2,82.14285714285714
1,1,1,0,27,15,76.0
0,0,6,1,34,2,81.0
0,0,3,0,2,10,83.14285714285714
1,0,3,0,22,12,86.28571428571429
0,0,7,0,33,12,79.71428571428571
0,0,5,0,17,5,77.85714285714286
0,0,7,0,4,3,71.42857142857143
1,0,7,1,3,3,75.71428571428571
1,0,7,0,3,3,81.28571428571429
1,0,7,1,17,12,82.0
0,0,3,0,6,10,85.71428571428571
0,0,7,0,9,15,72.28571428571429
0,1,2,0,35,12,92.28571428571429
1,0,3,0,17,12,86.42857142857143
1,0,1,0,7,8,90.28571428571429
0,0,5,0,16,5,87.57142857142857
1,0,1,0,20,12,83.85714285714286
0,1,7,0,0,3,80.57142857142857
0,0,2,0,27,9,83.85714285714286
0,0,0,0,24,4,80.85714285714286
0,0,2,0,30,15,82.28571428571429
0,0,6,0,20,12,80.71428571428571
0,0,0,0,27,12,88.28571428571429
0,0,6,0,2,3,72.42857142857143
1,0,6,0,16,2,83.85714285714286
0,1,1,0,27,2,78.14285714285714
0,0,4,1,24,0,80.0
0,0,4,0,23,0,75.57142857142857
0,0,1,0,15,8,82.42857142857143
0,0,3,0,25,13,86.71428571428571
1,0,2,0,32,12,81.57142857142857
0,0,3,0,35,9,92.42857142857143
1,0,3,0,3,1,87.71428571428571
1,0,1,0,28,5,77.71428571428571
0,0,1,0,3,7,80.57142857142857
1,0,0,0,21,0,75.57142857142857
0,0,3,0,35,15,89.42857142857143
1,0,7,1,35,12,92.0
1,0,7,1,14,0,81.71428571428571
1,1,7,0,1,3,70.85714285714286
1,0,9,1,0,3,71.71428571428571
0,0,2,0,12,4,76.28571428571429
1,0,3,0,35,12,91.57142857142857
0,0,4,0,2,1,83.0
0,1,2,0,16,15,71.0
1,0,3,0,31,9,85.28571428571429
0,0,5,0,4,3,76.28571428571429
0,0,3,0,19,15,85.28571428571429
1,0,3,1,15,2,87.28571428571429
1,0,1,0,30,6,81.57142857142857
1,0,7,0,17,2,86.28571428571429
1,0,2,0,23,12,77.42857142857143
0,0,1,0,3,3,79.85714285714286
1,0,7,0,4,3,64.14285714285714
0,0,0,0,25,15,83.85714285714286
0,1,10,0,1,3,67.57142857142857
0,0,1,0,24,9,82.28571428571429
0,0,1,0,15,12,79.85714285714286
1,1,7,0,1,3,84.28571428571429
0,0,1,1,33,9,82.85714285714286
1,0,1,0,11,5,80.85714285714286
0,0,3,0,10,2,83.71428571428571
1,0,7,1,15,12,84.28571428571429
0,0,5,0,34,11,88.14285714285714
0,0,3,0,30,9,84.0
1,1,4,1,4,1,84.28571428571429
1,0,2,0,28,13,84.14285714285714
0,0,5,1,29,6,84.71428571428571
1,0,7,1,30,9,86.57142857142857
0,0,4,0,31,15,78.28571428571429
1,0,8,0,1,3,66.85714285714286
1,0,6,0,16,12,82.71428571428571
1,0,2,1,18,14,73.0
1,1,1,0,4,7,83.14285714285714
1,0,8,0,32,0,82.28571428571429
1,0,2,0,12,2,87.71428571428571
1,1,6,0,5,5,82.28571428571429
1,0,2,1,15,8,79.42857142857143
1,0,3,0,31,0,75.71428571428571
0,0,2,0,2,7,82.85714285714286
1,0,1,0,2,15,79.28571428571429
0,0,3,0,20,12,81.0
0,0,1,1,11,13,74.14285714285714
1,0,10,0,26,2,83.57142857142857
1,0,3,0,22,0,81.42857142857143
1,0,1,1,12,8,70.14285714285714
1,1,10,0,4,3,66.71428571428571
1,0,3,0,34,2,74.28571428571429
1,0,0,0,9,14,71.57142857142857
1,0,5,0,43,6,93.14285714285714
1,0,2,0,1,10,77.71428571428571
1,0,2,0,19,12,83.42857142857143
1,1,4,0,2,3,70.42857142857143
0,0,1,0,34,11,86.28571428571429
1,0,4,1,31,11,84.85714285714286
1,0,4,0,11,14,88.57142857142857
0,0,2,0,35,15,90.0
0,0,4,0,20,12,79.0
1,1,0,0,22,15,80.14285714285714
1,0,3,0,2,7,88.42857142857143
0,0,7,0,1,3,75.85714285714286
1,0,4,0,34,12,82.0
0,1,6,0,17,12,82.0
0,0,6,0,34,6,90.0
1,1,5,0,25,15,77.42857142857143
0,0,3,0,8,15,82.85714285714286
0,0,3,0,4,15,78.28571428571429
1,0,1,1,26,9,81.57142857142857
0,0,1,0,13,16,84.42857142857143
1,0,1,1,4,8,81.85714285714286
0,0,2,0,27,9,70.57142857142857
0,0,5,0,32,15,79.71428571428571
1,0,1,0,25,12,77.28571428571429
1,0,1,0,13,5,77.28571428571429
0,0,1,0,31,4,83.85714285714286
1,0,3,0,8,14,84.0
0,1,9,0,0,3,74.0
0,0,7,0,6,8,72.71428571428571
0,0,2,0,7,8,84.0
0,0,1,0,32,9,83.0
0,0,5,1,30,12,75.71428571428571
0,0,9,0,4,3,81.57142857142857
1,0,5,0,15,8,80.0
0,0,2,0,2,7,83.0
0,0,8,1,32,9,82.0
0,0,2,0,24,4,84.42857142857143
1,0,1,0,18,14,80.42857142857143
0,1,10,0,5,3,68.14285714285714
1,1,3,0,24,2,80.42857142857143
0,0,1,0,16,5,80.57142857142857
0,0,1,0,15,16,83.42857142857143
0,0,3,0,26,12,81.85714285714286
1,0,3,0,15,14,70.28571428571429
1,0,1,0,5,7,82.0
0,0,1,1,14,15,89.57142857142857
0,0,4,0,1,7,79.85714285714286
0,0,5,0,10,4,83.57142857142857
1,0,6,0,5,3,72.85714285714286
0,0,2,0,26,15,76.42857142857143
1,0,2,1,26,9,78.28571428571429
1,0,2,0,14,8,84.85714285714286
0,0,7,1,21,4,83.71428571428571
1,0,2,0,32,12,85.71428571428571
0,0,0,0,30,12,89.71428571428571
1,0,3,0,13,14,85.0
1,0,7,0,33,2,83.42857142857143
1,0,3,0,15,0,81.42857142857143
0,0,10,0,33,15,77.28571428571429
0,0,2,0,11,5,78.71428571428571
1,0,2,0,30,15,76.42857142857143
1,0,7,0,2,3,72.0
0,0,3,0,4,13,74.85714285714286
0,0,3,0,32,12,78.57142857142857
1,1,7,0,0,3,72.85714285714286
1,0,2,0,4,3,81.0
0,1,10,1,0,3,78.14285714285714
1,0,5,1,21,15,73.57142857142857
1,0,2,0,29,16,81.57142857142857
0,0,3,0,32,15,80.57142857142857
1,0,7,0,14,15,74.85714285714286
0,0,1,0,25,9,88.71428571428571
0,0,7,1,4,15,88.42857142857143
1,0,2,1,32,13,76.85714285714286
0,0,2,0,7,15,76.71428571428571
1,1,1,0,22,12,78.14285714285714
0,0,5,0,3,15,77.71428571428571
0,1,8,0,1,3,70.0
0,0,4,1,23,16,86.28571428571429
1,0,0,0,42,6,90.57142857142857
0,0,1,0,30,11,89.57142857142857
1,0,1,0,1,3,71.14285714285714
1,1,3,1,17,12,84.28571428571429
0,0,2,0,48,6,90.71428571428571
0,0,4,1,24,12,73.57142857142857
1,0,6,0,31,16,81.14285714285714
0,1,7,0,0,3,73.0
0,0,9,0,2,3,79.71428571428571
1,0,1,0,24,9,84.71428571428571
1,0,7,0,2,3,76.0
0,0,0,0,32,12,82.14285714285714
1,0,2,0,4,8,73.85714285714286
0,0,4,0,32,12,81.57142857142857
0,0,3,0,16,13,86.85714285714286
1,0,1,0,20,2,83.85714285714286
0,0,4,0,28,4,78.14285714285714
0,0,7,0,30,12,81.42857142857143
1,0,3,0,17,2,73.42857142857143
1,0,5,0,25,15,77.0
0,0,5,0,18,0,77.14285714285714
0,1,1,0,23,12,76.14285714285714
0,0,4,1,23,12,82.0
1,0,6,0,21,12,88.85714285714286
1,0,3,0,27,12,87.42857142857143
1,0,5,0,14,12,80.28571428571429
0,0,2,1,37,6,94.0
0,0,3,0,29,0,74.71428571428571
0,1,6,0,4,3,65.42857142857143
1,0,3,0,16,2,81.14285714285714
1,0,4,0,30,0,77.42857142857143
0,1,7,0,1,3,72.0
0,0,3,1,24,12,90.42857142857143
1,0,2,0,35,16,94.28571428571429
1,0,1,0,14,14,79.28571428571429
1,0,1,0,3,5,79.57142857142857
1,0,4,0,15,0,78.14285714285714
0,0,5,0,23,12,80.42857142857143
0,0,6,0,19,15,81.57142857142857
0,0,3,0,33,6,89.71428571428571
1,0,0,0,14,2,79.28571428571429
1,0,1,1,0,1,77.42857142857143
1,0,1,0,34,9,82.28571428571429
0,0,5,0,33,11,93.0
1,0,7,0,7,13,80.57142857142857
0,0,2,0,18,12,81.71428571428571
0,0,9,0,4,3,64.14285714285714
0,0,6,0,10,10,74.42857142857143
0,1,2,0,22,12,86.85714285714286
1,0,5,0,28,13,86.28571428571429
0,0,2,0,2,10,78.57142857142857
1,0,1,0,0,3,75.71428571428571
0,0,3,0,24,6,86.57142857142857
0,0,2,0,15,4,81.71428571428571
1,1,2,0,1,1,80.71428571428571
0,0,1,0,8,13,84.28571428571429
1,0,7,0,9,14,71.42857142857143
0,0,4,0,33,12,83.71428571428571
1,0,3,0,32,0,76.57142857142857
1,1,9,0,4,3,81.0
0,0,2,0,2,3,66.42857142857143
0,0,3,0,20,5,76.85714285714286
1,0,1,0,21,12,89.14285714285714
1,0,3,0,29,9,86.57142857142857
1,0,3,0,13,15,77.57142857142857
0,0,1,0,24,0,82.57142857142857
0,0,7,0,30,6,89.57142857142857
0,0,1,0,25,13,85.71428571428571
0,0,1,0,1,5,90.57142857142857
0,0,4,0,27,12,79.42857142857143
0,0,0,1,4,10,73.42857142857143
1,0,2,1,32,2,78.71428571428571
1,0,1,0,1,1,82.71428571428571
1,0,2,0,32,5,82.42857142857143
1,0,1,1,4,10,81.0
0,0,4,0,28,12,82.14285714285714
1,0,3,1,32,9,83.28571428571429
1,0,1,0,33,6,81.0
0,1,2,0,4,3,78.71428571428571
0,0,1,0,31,12,79.57142857142857
0,0,5,0,17,4,81.57142857142857
0,0,2,0,23,6,88.57142857142857
1,0,0,0,29,12,80.85714285714286
0,0,2,0,19,12,84.28571428571429
0,1,4,1,26,2,75.85714285714286
1,0,7,0,7,10,92.85714285714286
1,0,6,0,4,10,74.0
0,0,6,0,22,6,89.0
0,1,6,1,4,3,78.28571428571429
1,0,3,0,29,9,86.85714285714286
0,0,8,1,21,13,79.14285714285714
1,0,3,0,5,10,77.71428571428571
0,0,5,0,15,15,78.57142857142857
0,0,3,1,10,15,85.0
1,1,7,0,2,3,75.28571428571429
1,0,4,1,0,10,76.85714285714286
0,0,5,1,3,1,79.42857142857143
1,0,6,1,1,15,81.71428571428571
1,0,3,1,26,0,78.28571428571429
1,1,5,0,2,3,75.42857142857143
1,0,3,0,21,15,87.28571428571429
1,0,10,0,5,3,75.57142857142857
1,1,10,0,5,3,81.71428571428571
1,0,5,0,0,3,78.42857142857143
1,0,5,1,10,14,75.71428571428571
0,0,5,0,2,1,79.57142857142857
1,0,5,1,24,2,81.57142857142857
0,0,4,0,46,6,92.57142857142857
0,0,3,0,31,16,84.42857142857143
0,0,1,0,33,9,78.42857142857143
1,0,5,0,26,13,79.28571428571429
0,0,2,0,19,0,82.14285714285714
0,0,3,0,25,12,77.28571428571429
1,0,3,0,24,0,85.85714285714286
0,0,1,0,21,13,89.14285714285714
1,1,8,1,0,3,80.42857142857143
0,0,4,0,30,2,88.28571428571429
1,0,4,0,32,12,79.57142857142857
1,0,8,0,15,15,81.71428571428571
1,0,6,0,15,8,88.57142857142857
1,0,3,1,4,7,92.28571428571429
0,0,1,1,27,12,76.42857142857143
0,0,5,0,33,4,82.42857142857143
0,0,7,0,25,12,80.28571428571429
1,0,0,0,29,9,78.42857142857143
1,0,2,0,13,15,75.14285714285714
1,0,3,0,49,6,93.71428571428571
0,0,6,0,34,9,76.85714285714286
0,1,4,0,28,4,82.0
1,0,2,0,44,6,93.0
1,0,1,0,14,12,84.85714285714286
1,0,4,0,1,10,78.14285714285714
0,0,6,0,22,12,81.14285714285714
1,0,2,0,11,14,84.42857142857143
1,0,3,0,2,15,74.14285714285714
1,0,9,0,3,3,70.57142857142857
1,0,5,0,28,2,88.57142857142857
0,1,2,0,0,3,74.28571428571429
0,0,5,0,22,2,86.85714285714286
1,1,8,0,3,3,81.42857142857143
0,0,2,0,25,15,81.14285714285714
1,0,3,1,1,3,63.142857142857146
1,0,7,0,37,6,93.42857142857143
1,0,3,1,28,12,79.0
1,0,3,0,30,11,89.28571428571429
0,0,1,0,19,13,83.14285714285714
0,1,7,0,2,3,74.71428571428571
1,1,4,0,26,15,75.14285714285714
0,0,10,1,0,3,69.28571428571429
0,0,4,0,5,7,77.85714285714286
1,0,0,0,17,12,83.42857142857143
0,0,2,0,26,9,85.14285714285714
0,0,2,0,32,15,79.42857142857143
1,0,6,1,16,12,86.28571428571429
1,1,8,0,2,3,67.85714285714286
0,0,2,0,35,4,95.0
1,0,0,0,17,0,81.85714285714286
1,0,9,0,3,3,82.0
1,1,3,0,47,6,92.71428571428571
0,0,0,0,29,9,81.57142857142857
1,0,10,0,5,3,71.14285714285714
0,0,3,1,12,5,81.85714285714286
0,0,2,0,35,6,94.71428571428571
1,1,0,0,3,7,80.57142857142857
0,1,8,0,2,3,80.0
0,0,10,0,35,12,95.71428571428571
0,1,1,0,7,8,87.28571428571429
1,0,4,0,15,12,78.28571428571429
1,0,1,0,3,13,84.42857142857143
0,0,2,0,35,15,94.14285714285714
0,0,3,1,28,9,85.42857142857143
1,0,9,0,4,3,78.14285714285714
0,0,1,1,4,1,76.71428571428571
0,0,3,1,16,12,72.14285714285714
0,0,1,0,26,0,75.85714285714286
0,0,3,0,30,15,84.57142857142857
1,1,6,0,2,3,78.85714285714286
1,0,2,0,34,12,81.71428571428571
0,0,10,0,0,3,78.42857142857143
1,0,10,1,3,1,85.85714285714286
0,0,2,0,30,12,89.0
0,1,3,1,15,4,83.42857142857143
0,0,8,1,1,3,77.14285714285714
0,0,3,1,6,8,83.14285714285714
1,0,7,1,1,7,89.42857142857143
0,1,9,1,5,3,70.14285714285714
0,0,1,0,30,2,82.85714285714286
0,0,3,1,8,8,76.0
0,1,9,0,5,3,66.71428571428571
1,0,1,0,5,1,84.85714285714286
0,0,4,0,4,8,82.71428571428571
1,0,1,0,47,6,90.0
1,0,3,1,16,13,78.0
0,1,5,0,3,3,71.71428571428571
1,0,5,1,32,11,87.85714285714286
1,0,2,0,31,2,85.14285714285714
0,0,3,0,6,10,78.0
1,0,3,0,16,15,77.57142857142857
0,0,6,0,34,9,83.42857142857143
0,0,3,0,26,12,78.42857142857143
1,0,6,0,21,2,77.71428571428571
0,0,3,0,46,6,92.28571428571429
1,0,6,0,48,6,91.57142857142857
0,1,1,0,46,6,92.85714285714286
1,1,3,0,28,15,82.14285714285714
0,1,4,0,2,15,80.57142857142857
0,1,0,0,32,13,81.42857142857143
0,1,10,0,5,3,76.42857142857143
1,0,4,0,31,9,85.71428571428571
0,0,4,1,1,1,81.85714285714286
1,1,9,1,4,3,71.0
0,0,2,1,8,10,80.42857142857143
1,0,3,1,23,0,77.42857142857143
1,0,1,0,23,6,87.71428571428571
0,0,1,0,28,9,89.14285714285714
1,0,1,0,7,15,76.71428571428571
1,0,0,0,5,1,93.42857142857143
1,0,2,0,4,15,75.14285714285714
1,0,2,0,26,15,73.57142857142857
1,0,4,1,33,9,85.71428571428571
1,0,4,1,34,9,83.28571428571429
1,1,4,0,16,0,76.42857142857143
0,0,4,0,3,3,75.71428571428571
0,0,3,0,25,9,83.85714285714286
1,0,0,0,4,13,82.85714285714286
0,0,0,0,4,10,84.14285714285714
1,0,3,0,21,12,82.14285714285714
1,0,7,0,4,3,83.0
1,0,3,0,24,16,80.28571428571429
0,0,2,0,16,15,82.57142857142857
0,0,10,0,2,3,68.0
0,0,3,0,35,12,89.85714285714286
0,0,2,0,24,6,89.14285714285714
0,0,2,1,46,6,91.0
1,0,6,0,1,3,69.85714285714286
0,0,5,0,26,15,81.71428571428571
0,0,1,0,5,15,75.0
1,1,5,0,17,14,83.57142857142857
0,0,3,0,4,1,76.71428571428571
0,0,6,0,27,9,83.28571428571429
0,0,3,0,0,1,72.85714285714286
0,0,6,1,16,0,67.57142857142857
0,0,6,1,14,15,74.57142857142857
1,1,2,0,5,10,80.57142857142857
1,0,3,1,31,2,77.42857142857143
1,0,2,1,4,1,88.28571428571429
0,0,1,0,5,1,75.85714285714286
1,0,1,0,11,16,85.85714285714286
0,0,8,1,12,15,75.57142857142857
1,0,0,0,5,7,76.42857142857143
1,1,6,0,1,3,75.42857142857143
0,0,5,0,2,1,86.71428571428571
1,1,10,0,1,3,79.14285714285714
1,0,2,1,30,13,79.14285714285714
0,0,6,0,0,3,76.57142857142857
1,0,2,1,6,15,82.0
0,0,6,1,24,0,72.42857142857143
1,0,7,0,26,9,82.42857142857143
0,0,7,0,0,3,81.85714285714286
0,0,1,0,18,12,73.14285714285714
0,0,4,0,20,12,83.14285714285714
1,0,0,0,23,12,86.28571428571429
0,1,4,0,4,3,81.42857142857143
1,0,4,0,30,2,81.71428571428571
1,0,4,0,34,2,76.0
1,0,1,0,26,0,78.0
0,0,5,0,27,9,85.14285714285714
1,0,1,1,18,12,78.0
1,0,4,0,39,6,91.71428571428571
1,0,7,1,29,2,80.42857142857143
0,0,0,1,27,6,90.71428571428571
0,1,3,1,17,12,75.71428571428571
1,1,5,1,31,2,82.28571428571429
1,1,4,0,13,2,77.71428571428571
1,0,4,1,12,2,86.42857142857143
0,1,10,0,0,3,87.85714285714286
0,0,2,1,21,4,81.85714285714286
1,1,3,0,28,9,90.71428571428571
1,1,8,0,35,0,90.14285714285714
0,0,9,1,24,9,78.14285714285714
0,0,1,0,28,0,82.0
0,0,9,0,0,3,72.0
1,1,6,0,0,3,79.0
0,0,2,0,3,10,80.57142857142857
1,0,3,0,16,15,78.14285714285714
1,0,2,0,26,9,87.0
1,1,10,1,4,3,65.14285714285714
0,0,2,0,24,4,89.0
0,0,5,1,22,12,83.42857142857143
1,1,2,0,14,12,77.14285714285714
0,0,2,0,21,15,83.57142857142857
0,0,4,0,29,9,87.57142857142857
1,0,6,0,3,3,77.42857142857143
0,0,2,0,4,5,80.42857142857143
0,0,5,0,19,0,80.42857142857143
0,0,3,0,33,12,79.57142857142857
1,0,1,0,24,0,73.28571428571429
0,0,4,0,29,15,78.14285714285714
0,0,1,1,27,9,87.85714285714286
1,0,2,0,20,15,79.57142857142857
1,0,0,0,35,0,90.42857142857143
1,0,0,0,29,6,83.85714285714286
0,0,2,1,0,1,77.85714285714286
0,0,3,0,10,15,76.0
0,0,1,1,29,4,82.42857142857143
0,0,0,1,17,12,85.71428571428571
0,1,10,0,1,3,72.85714285714286
1,0,1,0,14,14,77.14285714285714
0,0,1,0,24,15,76.28571428571429
0,0,2,0,35,4,94.14285714285714
0,0,3,0,19,4,93.42857142857143
0,0,6,0,23,2,79.71428571428571
0,0,9,0,14,4,81.28571428571429
0,0,2,0,21,2,76.57142857142857
0,0,6,0,18,15,84.0
1,0,2,1,16,16,92.57142857142857
1,0,4,0,2,15,77.14285714285714
0,0,5,1,16,15,75.28571428571429
1,0,0,0,29,12,78.0
0,0,5,0,35,0,91.71428571428571
0,0,2,0,11,2,88.14285714285714
0,0,3,0,4,1,75.0
1,0,0,0,15,14,79.28571428571429
0,1,10,0,25,2,83.0
1,0,1,0,31,0,67.28571428571429
1,0,7,0,30,6,81.85714285714286
1,0,3,0,17,14,92.28571428571429
1,0,10,0,0,3,79.85714285714286
1,1,2,0,10,8,87.42857142857143
